"peopleNumber","cinema","address","tele","lng","lat"
262642.00,"阜新今世界影城","兴隆大家庭二期六楼","0418-2381999",121.65,42.01
262574.00,"卢米埃影城(常熟世茂店)","泰山北路世茂世纪中心搜秀活力城2号楼3-4楼","0512-52030216",120.76,31.66
262228.00,"金逸电影城(名扬店)","三环路名扬国际广场大润发商业楼4楼","0662-2682228",113.23,23.09
262031.00,"万达国际影城(西夏万达店)","怀远东路325号（西夏万达广场4楼）","0951-60990630951-6099064",106.28,38.46
261925.00,"CGV星聚汇影城(顺义店)","新顺南大街8号华联购物中心4层CGV星聚汇国际影城","010-61490988",116.65,40.12
261767.00,"万达影城(东营万达广场店)","北一路以南、千佛山路以西万达广场4层","0546-6388788",118.51,37.45
261533.00,"浙江庆春电影大世界","庆春路60号（浙医一院对面）","0571-87219585",120.17,30.25
261328.00,"芜湖华亿环球影城(步行街店)","步行街华亿国际B座6楼","0553-3882193",118.20,31.08
261321.00,"惠州华影万联影城(淡水)","淡水人民路万联购物广场五楼","0752-3366626",114.46,22.78
261119.00,"SFC上影影城(科华店)","科华中路2号王府井百货购物广场中心5F","028-85222236",104.07,30.62
260978.00,"万达国际影城(财富又一城店)","府青路二段2号财富又一城5楼","028-66555588",104.09,30.67
260912.00,"耀莱成龙国际影城(金地店)","淮城镇翔宇南道588号金地商业广场1号楼三层","0517-85198118",112.98,34.75
260673.00,"CGV星聚汇影城(文化广场店)","宁穿路1888号文化广场四标段4楼","0574-87033588",119.16,36.65
260616.00,"西安华昕影院(卜蜂莲花店)","唐延路卜蜂莲花超市2层","029-87301990",108.94,34.34
260606.00,"幸福蓝海国际影城(溧阳平陵广场店)","西大街125-427号（平陵广场4楼）","0519-80682005",119.48,31.42
260551.00,"西安首映国际影城(通化门店)","金花路十字苏宁东侧西北国际茶城4楼","029-89539800",108.99,34.26
260492.00,"合胜影城","长江路23号合胜百货五楼（购书中心正对面）","0754-81883888",116.84,30.81
260210.00,"米高梅国际影城","巨峰路1058弄2号新紫茂广场晨达美食城3楼（近金高路）","021-68682079",107.01,25.29
260206.00,"中影火星湖电影城(新会店)","会城振兴二路30号华润万家6楼","0750-6320320",113.04,22.51
259808.00,"新华国际影城(大兴店)","黄村东大街火神庙国际商业中心E座5层","010-81297050010-81297109",113.32,33.72
259720.00,"金陵工人影城","洪武路26号天丰大厦裙楼（正洪街路与中山东路间）","025-84706729",107.99,23.08
259681.00,"米高梅国际影城(高新店)","高新园区黄浦路517号（锦辉购物广场五楼）（海创国际大厦附近）","0411-82465511-601",126.54,43.81
259557.00,"星空影城(恒峰店)","大西门恒峰步行街A层","0851-85228918",117.89,29.78
258763.00,"金逸影城(中关村店)","中关村大街19号新中关购物中心B1层","010-82486800-807",120.36,36.10
258727.00,"左岸电影城","氐星路万豪城市广场4楼","0738-2882111",107.22,34.34
258676.00,"星美国际影城(淮西店)","淮海西路270号SOHO时代广场4层（近矿务局）","0516-85556655",119.01,33.60
258654.00,"中影火山湖电影城(番禺店)","桥南街桥南路108号三层（哈街，近大润发）","020-39292999",113.36,22.92
258620.00,"中影星美国际影城(天虹购物中心店)","西乡大道与新湖路交汇处天虹购物中心东座3楼（西乡地铁口A出口）","0755-23314898",116.39,40.00
258151.00,"横店电影城(维多利广场店)","恩和大街维多利广场6楼","0474-4823666",107.73,29.86
257849.00,"中瑞大地影城(仓山店)","则徐大道379号沃尔玛一楼（三盛实业公交站旁）","400-012-5000",119.33,26.02
257577.00,"鸿泰国际影城","第三大街鸿泰千百汇4楼","022-66295366",112.86,26.42
257564.00,"天津红星太平洋影院","津滨大道爱琴海购物公园526号","022-58537794",117.15,39.17
257517.00,"比高电影城(郑州店)","南三环连云路交叉口东南角都市广场五楼（世纪联华楼上）","0371-53307858",113.67,34.69
257503.00,"横店电影城(西美店)","红旗大街与汇丰路交叉口西美花街四层","0311-68098376",107.73,29.86
257106.00,"北京嘉华国际影城(活力东方店)","姚家园路甲1号活力东方奥特莱斯购物中心4楼","010-51193399",116.52,39.94
257057.00,"大地影院(罗宾森广场店)","城中路138号罗宾森广场4楼","021-59929830",113.54,23.11
256831.00,"保利国际影城(苹果园店)","阜石路300号喜隆多三层","010-53021058",113.93,22.51
256600.00,"中山艺达国际影城","新华中路118号大信新都汇118广场4楼","400-623-2223",113.24,22.67
256586.00,"大地影院(百货大楼店)","百货大楼6楼","0452-2457658",113.54,23.11
256259.00,"金逸影城(永捷店)","广济南路西城永捷生活广场6楼（轨交1号线广济南路站9号出口60米）","0512-657030500512-65703060",120.36,36.10
256206.00,"世茂国际影城(羊坊店路店)","羊坊店路18号光耀东方4层","010-57536166",116.45,39.93
255970.00,"上海上影河马国际影城","金科路3057号汇智国际5F（近地铁2号线金科路站2号口）","021-50802336",121.60,31.20
255823.00,"中影·国际影城(古塔新玛特店)","人民街3段3号（新玛特广场5楼）","0416-2338800",121.12,41.11
255603.00,"橙天嘉禾影城(江南店)","白沙大道与亭江路交汇处广西南城百货江南购物中心四层","0771-4350166",112.36,25.58
255505.00,"保利国际影城(东坝店)","东坝中路38号金隅嘉品MALL5层","010-65771288",113.93,22.51
255368.00,"深圳博纳国际影城(龙华店)","龙华新区梅龙路与民乐路交汇处星河COCOCity1楼S1-001号","0755-23740580",114.04,22.60
255341.00,"卢米埃影城(来福士店)","人民南路四段3号来福士商场3楼（省体育馆对面）","028-85083141",121.55,29.88
254711.00,"美嘉欢乐影城(三里屯店)","三里屯太古里地下一层（三里屯酒吧街南口西侧）","010-64176118",116.45,39.93
254640.00,"嘉星国际影城(会展店)","红旗大街240号（艺汇家文化商业广场3楼）","0451-51841886",116.32,39.96
254579.00,"万达国际影城(万象城店)","解放大道121号4楼万达影城（永兴阁旁）","0734-8681188",117.27,31.86
254347.00,"博纳国际影城(丽丰店)","宝带东路399号丽丰购物中心北区5F","0512-66358228",114.22,22.69
254015.00,"淄博齐纳国际影城(柳泉路店)","柳泉路45号（近银座）","0533-21881800533-2282826",118.04,36.80
253840.00,"重庆星美国际影商城(东原D7IMAX店)","大石坝东原新新PARK购物中心L4到5层","023-61847788",106.49,29.57
253772.00,"大商影城(盘锦店)","步行街大商新玛特6楼（近中兴路）","0427-32513330427-3251388",122.07,41.12
253658.00,"大地影院(东方广场店)","锦华路85号东方广场翡翠城3楼","0757-82328670",108.68,19.32
253430.00,"左岸国际电影城","望江西路与潜山路交口东南角大唐国际购物中心3楼","0551-655841000551-65584111-801",107.22,34.34
253307.00,"武汉魔影国际影城","黄埔大街68号上东汇商业广场6楼（黄埔大街与解放大道交汇处，解放军一六一医院旁）","027-82789889",114.31,30.61
253228.00,"百丽宫影城(万象城店)","谢家湾正街49号华润中心万象城北区5楼","023-68688212",117.27,31.86
253084.00,"横店电影城(金桥大厦店)","魏武大道928号金桥大厦商业楼地上5层","0558-5200833",107.73,29.86
252755.00,"成都CGV星聚汇影城(航空港店)","大件路白家段280号韩国城购物中心3层","028-85823232",103.86,30.68
252736.00,"东莞越界思哲IMAX","东方商业街乐荟城3楼","0769-87008700",113.75,23.02
252537.00,"南国艺恒国际影城(坂田店)","坂田街道吉华路999号坂田商业广场5楼","0755-28483188",110.38,18.68
252413.00,"中影星美国际影城(临海银泰店)","东方大道1号临海银泰城西区5楼","0576-85116505",121.44,28.67
251865.00,"沈阳今世界影城(兴隆大奥莱店)","浑南新区营盘北街5号兴隆大奥莱四楼（地铁二号线奥体中心下车A出口出站）","024-31250555",123.33,41.77
251612.00,"横店电影城(苏宁店)","天府大道北段8号苏宁广场6楼（近宜家、欧尚）","028-85153512",107.73,29.86
251443.00,"大地影院(宏发大世界店)","石岩宝石南路与青年路交汇处宏发购物广场二期5楼","0755-29820745",113.54,23.11
251161.00,"美亚影城(水游城店)","大丰路水游城B座5层","022-58301206-627",118.78,32.02
251070.00,"博纳国际影城(万象天成店)","裕华西路15号万象天成B2层","0311-66600588",114.25,22.72
250926.00,"博纳国际影城(奉化店)","南山路150号银泰百货6楼","0574-88681718",121.41,29.66
250573.00,"中影国际影城(合肥蜀山1912店)","黄山路与怀宁路交口1912街区1号楼","0551-655035350551-65503131",117.20,31.78
250508.00,"中影国际影城(假日广场店)","深南大道9028号益田假日广场L3楼（近世界之窗）","0755-86298989",112.99,34.74
250433.00,"市一宫","文明路65号（近北京路）","020-83372923",113.27,23.12
250222.00,"永乐影城(庆丰中路)","庆丰中路85号10幢4楼","0573-88885596",113.22,23.21
250162.00,"UME国际影城(康宁路店)","康宁路58号嘉陵风情步行街4-5楼（状元府第旁）","023-60306699",107.39,29.70
250135.00,"中影时光国际影城(东信上悦城店)","东信国际上悦城5层","0352-2888222",107.99,24.94
250126.00,"东漫影院","秋涛北路新澳门广场二楼","0571-89807000",112.02,35.05
250056.00,"橙天嘉禾影城(怡丰店)","太白立交西北角怡丰城3F","029-89194008",112.36,25.58
249952.00,"高德国际影城(江夏中百广场店)","文华路37号中百广场6楼","027-81787666",114.32,30.36
249939.00,"UME国际影城(大足店)","龙中路89号大足印象购物广场D区4楼","023-43306688",105.72,29.69
249796.00,"中影国际影城(绿地大道店)","绿地大道255弄2号3楼","0512-50173666",116.28,39.88
249742.00,"横店电影城(宝龙店)","西湖路宝龙城市广场四楼","0527-81686800",107.73,29.86
249669.00,"幸福蓝海国际影城(郑州福都店)","航海东路与未来路交叉口向西200米路南福都购物广场4楼","0371-55128000",113.70,34.72
249656.00,"万达影城(冉家坝店)","渝北松石大道148号SM广场L4层","023-88195007",113.90,22.56
249285.00,"欢乐印象影城","海虞南路88号印象城购物中心2楼（海虞桥旁）","0512-52928767",112.78,37.89
249231.00,"博纳国际影城(顺义店)","新顺南大街18号新世界百货七层","010-60406018010-60406016",116.65,40.12
249216.00,"大地影院(望海国际广场店)","海秀东路望海国际广场6楼","0898-66734019",113.54,23.11
249087.00,"幸福蓝海国际影城(沭阳店)","人民路16号三匹马商业广场1号楼5层","0527-80811555-8036",118.77,34.12
249061.00,"新洲摩尔影城","邾城街新洲摩尔城5楼","027-89203577",114.80,30.83
249025.00,"西海岸影城(家佳源店)","长江中路家佳源超市3楼","0532-86999633",119.13,26.13
248832.00,"德阳太平洋东方影都","文庙广场北侧东方影都3楼","0838-22215120838-2221513400-616-6688",104.39,31.12
248417.00,"横店电影城(九鼎店)","季华六路九鼎国际城1区2-3层（东门上二楼）","0757-820611100757-82061115",107.73,29.86
248353.00,"英皇电影城(万象城店)","政务区潜山路与习友路交口华润万象城4-5层","0551-68160888",117.27,31.86
248311.00,"新乡中影好莱坞国际影城","健康路与胜利路交叉口新都汇广场5层","0373-5898666",113.87,35.29
248014.00,"橙天嘉禾影城(万象城店)","金石路88号无锡万象城3-0、4-0","0510-81833588",112.36,25.58
247930.00,"华士达影城(徐汇店)","东安路599号绿地中心正大乐城3楼","021-60671619",121.45,31.18
247854.00,"金逸影城(南湖店)","丁字桥南路518号南国南湖城市广场3楼（近沃尔玛）","027-88709399",120.70,30.76
247805.00,"万达国际影城(南沙店)","双山大道万达广场三号娱乐楼4楼","020-39089666",113.26,23.17
247590.00,"中影齐纳国际影城(银泰城店)","高新技术产业开发区鲁泰大道9号银泰城西首三楼","0533-5207088",120.16,30.24
247303.00,"美嘉欢乐影城(万象城店)","青年大街288号万象城5楼（文艺路与文化路之间）","024-31379986",116.45,39.93
247270.00,"保利国际影城(逸天城店)","市南路42号逸天城5F","0851-85516350",113.93,22.51
247211.00,"CGV星星影城(东马路店)","东马路仁恒海河广场5层","022-58289700022-58289708",115.52,38.23
246732.00,"星星国际影城(华成店)","高新南二路5号华成都市购物中心5F","0771-3813808",109.16,25.78
246584.00,"贵阳万达影城(银海元隆广场店)","北京路219号星力银海元隆广场2楼","0851-86853566-8001",106.70,26.59
246485.00,"万达影城(余姚店)","开丰路万达广场娱乐楼四楼","0574-62765688",121.54,29.82
246467.00,"上海银兴菲林国际影城(塔城路店)","塔城路295号疁城天地2幢（近博乐路）","021-59165500-800",121.25,31.38
246332.00,"万达国际影城(金街万达广场店)","和平路168号万达商业广场E座2楼（近福安大街）","400-080-6060",114.17,30.50
246195.00,"兰州华影飞天影城","东岗东路2704号万商国际6楼（原飞天剧院）","0931-8681230",103.87,36.04
246186.00,"天水太平洋电影城","大众路官泉1号兰天城市广场精品内街6楼","0938-8235597",105.72,34.57
246046.00,"中影国际影城(南京雨花台南站店)","玉兰路99号明发商业广场4楼","025-58790999",118.77,31.99
246031.00,"银兴国际影城(天津店)","乐园道9号彩悦城阳光乐园购物中心4楼（近越秀路）","022-83885183022-83885172",117.69,39.00
245969.00,"CGV星星影城(天地店)","芦沟桥路28号武汉天地11号楼","027-82716621",113.72,34.77
245747.00,"左岸电影城","长白山东路1188号南滨国际广场B座3层","0433-28653330433-2867333",107.22,34.34
245645.00,"中影Face电影城(兰埔店)","兰埔路199号（圆明新园斜对面，中国城大厦一楼）","0756-8661333",113.54,22.23
245558.00,"内江太平洋影城","大洲路六段锦甜城印象负一层（近两岸咖啡，拉阔KYV）","0832-2077666",105.05,29.58
245296.00,"横店电影城(高德汇店)","长兴路13号优托邦购物中心3楼（近天河客运站150米处）","020-85605980",107.73,29.86
244850.00,"新华银兴国际影城(邮电街店)","邮电街真快活广场6楼","0719-8121650",113.28,33.73
244749.00,"横店电影城(义乌商贸城店)","中华路义乌商贸城写字楼4楼","0372-3723191",120.07,29.30
244717.00,"幸福蓝海上海(三林店)","长清路507号恒大长青商场3楼（原三林大光明）","021-50338415",121.33,31.24
244645.00,"高邮世贸星美国际影城(世贸广场)","通湖路与屏淮路交叉口西北，世贸广场4楼","0514-85611000",119.45,32.78
244424.00,"济宁上河影城(运河城店)","太白路与共青团路交叉路口运河城7楼","0537-36122220537-3610025",116.59,35.40
244380.00,"保利国际影城(成都奥克斯店)","锦城大道西段666号奥克斯广场4楼","028-85980808",104.06,30.57
244043.00,"华联国际影城","凤凰路中段211号1幢5层（华联商厦）","0833-2151588",113.68,22.96
243992.00,"佳兆业国际影城(惠州店)","惠州大道11号佳兆业广场4楼","0752-28282850752-2828287",114.41,23.11
243990.00,"UME影城(邯郸店)","中华北大街29号新世纪商业广场7楼西北角","0310-2042161",114.49,36.61
243951.00,"华士达影城(宝山店)","陆翔路111弄10号正大乐城3F","021-61736906",121.37,31.34
243912.00,"大地影院(青年路店)","青年路与烈山大道交汇处大润发超市四楼","0722-3332032",113.54,23.11
243654.00,"金逸影城(光美番禺大石店)","大石街建华汇商业中心F座3楼（人人乐超市、麦当劳）","020-31001128",113.26,23.19
243635.00,"星美国际影城(小十字店)","富水中路8号报业大厦2楼","0851-88217547",111.54,36.07
243426.00,"横店电影城(武圣路店)","武圣路145号大润发超市5楼（大润发超市五楼）","0419-3718555",107.73,29.86
243211.00,"大连东融大都会影城","解放路80号大都会购物中心4楼（百年城对面）","0411-66997889",121.63,38.91
243150.00,"万达国际影城(中泰广场店)","人民路202号中泰广场4楼","0561-2251888",112.56,33.02
243091.00,"宁波时代电影大世界(东渡店)","东渡路55号老银泰百货8楼（近中山东路）","0574-870938980574-87093509",121.55,29.86
242762.00,"保利万和国际影城(合川店)","交通街兆甲·海润天街10号楼3F（大润发对面）","023-42818686",106.27,29.28
242677.00,"上海耀莱成龙国际影城(金沙江路店)","金沙江路1518号（真北路818号）近铁城市广场北座4楼（真北路地铁站）","021-62156677",121.38,31.23
242587.00,"卢米埃影城(景昙路店)","景昙路18-21号银泰百货6楼（近庆春东路）","0571-86533860",120.20,30.26
242484.00,"博纳国际影城(万寿路店)","复兴路51号凯德晶品购物中心4层","010-88178880010-68260277",114.22,22.69
242358.00,"哈尔滨电影院","东大直街350号","0451-536057890451-89582345",126.64,45.75
242257.00,"德纳国际影城(恒利广场店)","中山西路118号恒利广场4F（老人民医院对面）","0573-84686688",109.97,39.80
242171.00,"绍兴咸亨国际影城","鲁迅中路115号咸亨新天地3楼","0575-88782222",120.58,29.99
241924.00,"金逸影城(北美店)","长风街116号北美新天地6楼","0351-7856680",120.36,36.10
241685.00,"幸福蓝海国际影城(金鹰店)","西湖路1号金鹰天地广场C02区3F至4F","0527-81889666",114.97,27.07
241601.00,"星维国际电影城(五星街店)","五星街22号新玛特购物商场6楼","0813-2112333",120.31,31.54
241244.00,"临沂银座鲁信影城(解放路店)","解放路158号（解放路与通达路交汇处）和谐广场5层","0539-7751234",118.35,35.10
241232.00,"横店电影城(淘园店)","新华南路207号T淘园3楼","0595-28790012",107.73,29.86
241116.00,"华夏世纪影城(蔡甸店)","凤凰山经济开发区凤凰路1号中核世纪广场4楼","027-69110090",114.06,30.56
240942.00,"奥斯卡电影城","南海大道亚洲豪苑城市广场2号楼","0898-66827813",113.90,22.78
240847.00,"金华时代国际影城(金华店)","李渔路888号世贸中心B座五楼（兰溪街步行街观光电梯直达5楼）","0579-89161788",119.64,29.08
240755.00,"万达影城(昆山世茂广场店)","昆山开发区前进东路199号世茂广场3楼（原世茂时尚欢乐影城）","0512-55112323",121.05,31.38
240669.00,"华夏星光国际影城(海德二道店)","海德二道南山书城7楼（海雅百货对面）","0755-861221110755-86122118",125.39,43.87
240497.00,"哈尔滨CGV星聚汇影城(群力店)","群力第四大道1553号A2-30","0451-51951068",126.60,45.72
240243.00,"厦门梦露歌剧院影城","阿罗海城市广场（近区政府）","0592-8308888",118.03,24.47
240240.00,"太平洋影城(西昌店)","达达大巷口街达达春天百货十楼","0834-2222333",102.26,27.88
240054.00,"中传国际影城(天津西站店)","西青道欧亚达商业广场4层东区（靠近华润万家）","022-27721865022-27721867",117.15,39.15
239971.00,"天逸影城(百佳宏业店)","城站路百佳宏业商城三楼","0712-2337333",113.18,22.59
239928.00,"万达影城(经二路店)","经二路（宝商百货对面）","0917-3221155",113.90,22.56
239863.00,"北辰财富中心影院","北京路延长线北辰财富中心E栋4楼","0871-65730900",117.22,39.24
239557.00,"CGV星聚汇影城(宜兴八佰伴店)","解放东路288号八佰伴生活广场4层CGV影城","0510-87672288",119.84,31.35
239477.00,"太平洋影城(深圳星海名城店)","前海路3101号星海名城6楼","400-850-3366",114.19,22.64
239447.00,"大地影院(渝北金港国际店)","金港国际中心二楼（机场对面）","023-67802399",106.54,29.39
239198.00,"金逸影城(安溪宝龙店)","建安大道宝龙城市广场3楼","0595-261133550595-26113377",118.19,25.04
239156.00,"深影凤凰国际影城","黄贝岭凤凰路177号京基凤凰印象商业广场三楼","0755-82119111",109.59,27.96
239086.00,"中影火星湖电影城(建设路店)","建设路196号新之城5楼","0750-3227166",119.78,49.25
238868.00,"大地数字影院(益阳剧院店)","桃花仑西路女人街益阳剧院2楼","0737-3331866",112.35,28.58
238807.00,"海上明珠国际影城(中大店)","东新路822号中大银泰城7楼","0571-89778917",120.57,32.10
238796.00,"朝阳今世界影城(兴隆大家庭店)","朝阳大街4段1号兴隆大家庭12楼","0421-2992332",120.44,41.56
238579.00,"纵横国际影城(石厦店)","石厦北二街89号新港商城三层（石厦地铁站A出口，福田区委西侧福田检察院对面）","0755-281810680755-28181018",114.05,22.52
238333.00,"横店电影城(奉贤店)","航南公路与环城东路交叉口宝龙城市广场4楼","021-60133798",121.46,30.93
238168.00,"大光明影城","观前街北局9号","0512-65115828",118.50,31.69
237967.00,"金逸影城(小榄店)","升平路18号大信新都汇4楼","0760-221883610760-22188362",120.36,36.10
237950.00,"万达国际影城(中心广场店)","吴家山街中心广场四层","027-83243677-8002",101.83,36.57
237900.00,"保利国际影城(复城店)","高新区益州大道722号复城国际广场4楼","028-61551688",113.93,22.51
237851.00,"嘉华时代影城","上海路3号699生活空间4栋3楼（上海路和解放西路交汇处0791厨房制造旁）","0791-88226686",114.24,22.29
237607.00,"星美国际影城(戛纳店)","滨河路二段568号戛纳湾印象","028-85623099",116.36,39.98
237553.00,"环球国际影院","联纺东路天鸿广场C座3楼","0310-8110678",121.36,28.38
237413.00,"金逸珠江国际影城(大学城店)","小谷围街贝岗村中二横路1号高高新天地商业广场B2B001铺","020-39340185",113.39,23.05
237385.00,"中影国际影城(东购店)","二七路汉口东部购物公园C2栋4楼解放大道C2时尚广场","027-82285875",116.28,39.88
237361.00,"中影国际影城(亭湖金鹰店)","建军中路169号金鹰国际购物中心7楼","0515-83077222",120.13,33.38
237349.00,"金逸影城(摩尔店)","洪兴西路1766号江南摩尔西区4楼","0573-82771100",120.36,36.10
237168.00,"金逸影城(赤坎店)","鹰展假日广场4楼","0759-3178880",110.37,21.27
237045.00,"SFC上影影城(房山绿地店)","黄辛庄路口绿地缤纷城3层","010-52802645",116.16,39.75
237000.00,"麦迪逊影院","望江东路332号（万泰城3F-4F）","0571-87173399",114.40,23.06
236493.00,"比高电影城(朝阳路店)","朝阳路105号来福岛大酒店旁边","0510-86800855",119.40,41.24
236374.00,"华臣影城(开发区安盛店)","金马路安盛购物广场5层","0411-87538538",105.20,37.51
236075.00,"武汉金逸影城(武胜路店)","中山大道238号武胜路凯德广场7楼","027-88188970",114.32,30.53
235895.00,"SFC上影影城(世博店)","世博大道1200号梅赛德斯奔驰文化中心6楼（原世博国际影城）","021-20251186",113.77,23.03
235724.00,"亚细亚影视城","怀德北路29号亚细亚影视城一楼","0519-86607778",84.25,30.74
235592.00,"幸福蓝海国际影城(马群店)","马群街道中山门大街699号招商花园城3楼（地铁2号线马群站1号口）","025-57030098",114.97,27.07
235379.00,"淮安中影数字曙光国际影城(淮海东路店)","淮海东路126号淮海第一城新天地广场4层（曙光国际大酒店东侧）","0517-83997778",119.03,33.59
235344.00,"耀莱成龙国际影城(友谊路店)","黑牛城道和友谊路交叉口东南角阳光新业购物中心三、四层","022-88312828",131.81,46.77
235128.00,"北京博纳国际影城(通州土桥店)","八通线土桥地铁站向东900米华远好天地购物中心3层","010-61510188",116.42,39.86
235102.00,"新华银兴国际影城","西乡宝安大道与金海路交汇处金港华庭一栋三层（西乡客运站对面）","0755-293062910755-29306292",113.28,33.73
235027.00,"中影国际影城(巢湖店)","人民路28号3号楼6F","0551-82348222",117.86,31.59
234711.00,"北京耀莱成龙国际影城(王府井店)","王府井大街301号新燕莎购物中心地下一层西侧（地铁一号线王府井站出C2口向北步行200米路西）","010-65273227",116.27,39.91
234454.00,"华谊兄弟影院(黄陂店)","黄陂大道387号黄陂广场C座","027-61106295",114.37,30.88
234397.00,"金逸影城(文艺店)","体育路95号文化艺术中心科技馆一楼","0592-5368812",120.36,36.10
234302.00,"横店电影城(涪陵店)","南门山金科世界走廊B区3、4楼","023-72200022",107.39,29.70
234296.00,"吉大巨幕影城","修正路与致远街交汇吉大南校体育场对面教职工文化活动中心5楼","0431-85307888",113.57,22.24
233265.00,"奥斯卡电影城","中山东路11号乐汇城5层","0311-66187108",113.90,22.78
233168.00,"万达影城(九升购物中心店)","镇淮楼东路100号九升国际广场三层","0517-803280110517-80328012",113.90,22.56
233148.00,"积家国际影城","道义南大街33号积家购物中心5层","024-88799800",120.14,30.17
233108.00,"横店电影城(住邦店)","新月路与青年路交汇青年路4255号住邦城市广场6号门5楼","0431-819257990431-81925788",107.73,29.86
233072.00,"DMG国际影城(新乡店)","金穗大道宝龙城市广场三楼中厅东南角","0373-3551555",113.92,35.29
232969.00,"唐阁影城(四川内江店)","汉安大道北京华联3层","0832-2072200",105.06,29.60
232943.00,"UME国际影城(涪陵店)","兴华中路29号高笋塘泽胜商业步行街4楼","023-72870011",107.39,29.70
232913.00,"深圳华夏嘉熙业国际影城","民治大道328号嘉熙业广场5楼（近民治大润发）","0755-23226666",114.03,22.62
232708.00,"幸福蓝海国际影城(常熟星光天地店)","闽江东路与香山北路交汇处（星光天地广场4楼）","0512-52968199",120.77,31.66
232594.00,"金熊国际影城(裕华西路益友店)","裕华路与友谊南大街交叉口西南角北国益友购物中心5楼","0311-81686888",114.45,38.03
232508.00,"恒业国际影城","解放路生龙国际时尚广场9层","0357-8608866",104.06,30.70
232352.00,"北京耀莱成龙国际影城(临河里店)","临河里33号楼华业玫瑰商业中心D2号楼三层","010-81588918",116.27,39.91
232144.00,"横店电影城(古民居店)","横店镇古名居东门娱乐中心","0579-86899993",107.73,29.86
232018.00,"万达影城(前进奥纳店)","长安街新玛特6楼","0454-6077000",130.36,46.81
231891.00,"横店电影城(曼哈顿店)","曼哈顿广场7号楼6层（妇幼医院斜对面）","0812-5918555",107.73,29.86
231784.00,"奥斯卡新都汇电影城(解放路店)","解放路新都汇购物公园E座4楼","0379-63106788",103.99,30.66
231670.00,"文化广场影城","高凉中路图书馆东侧","0668-28776660668-2877667",113.87,35.29
231619.00,"佳兆业国际影城(鞍山店)","人民路106号佳兆业广场8F","0412-7136222",122.97,41.11
231538.00,"橙天嘉禾影城(天一城店)","西城路11号天一城购物中心5楼","0769-87798822",112.36,25.58
231251.00,"安吉九州大地影院","递铺镇昌硕广场6幢412-413号","0572-5219999",119.68,30.62
231129.00,"海上明珠国际影城(银泰店)","益州大道1999号银泰城5楼","028-61383851",120.57,32.10
231056.00,"自由人影城(阳光世纪店)","观音桥阳光世纪购物中心L7层","023-88752929",108.64,24.05
230991.00,"佛山华钠国际影城","旧云路一通美居中心内（即新桂市场后面）","0757-29282688",113.26,22.84
230965.00,"保利国际影城(宝龙广场店)","金海路2505弄宝龙城市广场C1-507（近民耀路）","021-58821263",113.93,22.51
230644.00,"大连CGV星聚汇影城(东港店)","长江东路80号凯丹购物广场4层","0411-39971199",121.62,38.91
230124.00,"大地影院(加州阳光店)","金城路333号开元加州阳光商场4楼","0571-82687991",113.54,23.11
230009.00,"中影国际影城(东莞常平百花店)","市场路百花时代广场五楼","0769-82550088",113.99,22.97
229710.00,"大地影院(大华店)","大华路518号4楼（乐购商场4楼）","021-66405201",113.54,23.11
229690.00,"深圳华影信和影城","南海大道信和自由广场4楼","0755-86293881",113.92,22.50
229684.00,"荆门华夏巨幕影城","府前街6号月新广场6楼（近中天街）","0724-2221388",112.20,31.02
229427.00,"金逸影城(鹏瑞利IMAX店)","桂城季华七路与桂澜路交界鹏瑞利季华广场3楼","0757-85132211",120.36,36.10
229228.00,"耀莱成龙国际影城(东丽店)","东丽经济开发区一经路与二纬路交口阳光新业广场四层","022-88957788",117.35,39.07
229221.00,"光陆新东北影城(中街路店)","中街路187号（近朝阳街）","024-62221111",103.70,35.37
229214.00,"金逸影城(凯德MALL店)","鄂尔多斯大街32号嘉茂购物中心四楼","0471-5960303",120.36,36.10
229038.00,"奥斯卡国际影城(香港城店)","解放中路大厦南门香港城4楼","0391-8793001",114.15,22.33
228807.00,"沧州星梦国际影城","新华路华北商厦9楼","0317-2109777",116.85,38.31
228635.00,"百老汇影城(万象城店)","双庆路8号万象城3-4层","028-84347776-8002",114.05,22.53
228448.00,"横店电影城(金天地店)","人民路106号第一百货北面5F（原金天地商场）","0579-869717770579-86973999",107.73,29.86
228318.00,"车陂国际影城","中山大道87号苏宁生活广场3楼（靠近车陂地铁站D出口，车陂BRT站）","020-82304989",113.40,23.11
228174.00,"幸福蓝海国际影城(大庆IMAX店)","铁人纪念馆东侧（原松雷广场5楼）","0459-5959995",124.88,46.61
228030.00,"五道口工人俱乐部电影院","成府路23号（近五道口城铁站）","010-62329810",107.14,23.08
227950.00,"银都时代电影大世界(爱山广场店)","同岑路1号（爱山广场5号楼三楼）","0572-2323566",120.10,30.86
227937.00,"幸福蓝海影城(武汉雄楚店)","雄楚大道888号金地雄楚一号商一栋4楼","027-87660955",114.39,30.49
227473.00,"保利国际影城(森林摩尔店)","中山门大街301号森林摩尔负一楼","025-87761698",113.93,22.51
227234.00,"桂林电影院(中山中路店)","中山中路36号（大世界写字楼旁）","0773-2825507",110.29,25.27
227177.00,"南京耀莱成龙国际影城(江宁店)","东山街道金箔路468号中国女人街C区4层","025-66683101025-66683102",118.85,31.94
227157.00,"金逸巨幕影城(中心城店)","解放大道与长丰大道交界处21号（步步高广场四楼）市政府斜面","0734-8299066",113.95,23.11
